bump_region_mse,detail_amplitude,detail_amplitude_error,detail_component_relative_mse,elapsed_seconds,flat_region_mse,gradient_rounding_cosine,gradient_rounding_mse,gradient_zeroed_fraction,initial_calibration_seconds,mode,outside_bump_mse,relative_to_constant_mse,reselection_seconds,seed,selection_seconds,step,target,target_variance,total_gradient_cosine,total_gradient_mse,training_loss,transition_mse,validation_mse,weight_rounding_gradient_cosine,weight_rounding_output_mse
,,,,1.2715908328536898,,0.9999999999999983,0.0,0.0,0.0,fp32,,0.0014874547170963181,0.0,0,0.0,2000,composition,0.7234727740287781,0.9999999999999983,0.0,0.0007256100652739406,,0.0010761329904198647,0.9999999999999983,0.0
,,,,7.5532459588721395,,0.9996146886666825,3.1079137841934296e-08,0.0,0.0,fixed-e4m3,,0.009553648294769283,0.0,0,0.0,2000,composition,0.7234727740287781,-0.5410083299419803,8.453208589767672e-05,0.0022430764511227608,,0.006911804433912039,-0.54053499503728,0.0016294346423819661
,,,,8.575210874900222,,0.998707208622397,1.183239658461042e-06,0.0,0.0,fixed-e5m2,,0.009782049108701955,0.0,0,0.0,2000,composition,0.7234727740287781,0.6194057066767178,0.0007406752550639668,0.012776153162121773,,0.007077046204358339,0.6210941934751569,0.04355097562074661
,,,,8.83749191602692,,0.9986011865457018,1.5267792887467318e-07,0.0,0.0,fixed-hybrid,,0.0012175565144458343,0.0,0,0.0,2000,composition,0.7234727740287781,0.2708627784035708,0.00014747674940400221,0.002261238871142268,,0.0008808689890429378,0.2763349641689935,0.0027023940347135067
,,,,8.534922583028674,,0.9999047695712804,3.359479424690342e-09,0.038601982263954095,0.0052529999520629644,calibrated,,0.0065594030524658425,0.0,0,0.0052529999520629644,2000,composition,0.7234727740287781,0.28316030997555874,2.984338400702357e-05,0.001686237519606948,,0.004745549522340298,0.2840535858097512,0.0018236038740724325
,,,,8.866164958104491,,0.9998977743024927,2.391000459507924e-09,0.034533124673969746,0.0052529999520629644,adaptive,,0.002302103639117904,0.10113204643130302,0,0.10638504638336599,2000,composition,0.7234727740287781,0.644005811397592,1.7759815407547836e-05,0.0011237552389502525,,0.0016655093058943748,0.6431732826661537,0.0009516913560219109
,,,,1.4941016661468893,,0.9999999999999989,0.0,0.0,0.0,fp32,,3.6335306834768165e-06,0.0,1,0.0,2000,linear,0.4296875,0.9999999999999989,0.0,1.4953932350181276e-06,,1.5612827155564446e-06,0.9999999999999989,0.0
,,,,10.197559542022645,,0.9996794512874202,1.9448774250909586e-12,0.00031298904538341156,0.0,fixed-e4m3,,4.511269825426015e-05,0.0,1,0.0,2000,linear,0.4296875,-0.8819951167714303,8.651218648888618e-07,2.3816035081836162e-06,,1.9384362531127408e-05,-0.8815487508691027,0.0001501544757047668
,,,,10.084934582933784,,0.9989692715155825,8.312949675283793e-13,0.0,0.0,fixed-e5m2,,4.9676941919394515e-06,0.0,1,0.0,2000,linear,0.4296875,-0.007280478090253148,3.198503259694746e-06,1.972206518985331e-06,,2.134556098098983e-06,-0.008941817877798484,0.0009020759025588632
,,,,9.315217333845794,,0.9986489603489519,4.870327147698718e-12,0.0,0.0,fixed-hybrid,,8.260699475861408e-06,0.0,1,0.0,2000,linear,0.4296875,0.8736450563357935,1.5339393567224468e-06,2.1480930172401713e-06,,3.549519306034199e-06,0.8729639792092401,0.00030627314117737114
,,,,8.373145624995232,,0.999935072746847,4.7112844224437434e-14,0.013980177360459051,0.00977170909754932,calibrated,,3.945269484326921e-06,0.0,1,0.00977170909754932,2000,linear,0.4296875,0.8454808841450326,5.856961632149026e-07,1.5289667771867244e-06,,1.6952329815467237e-06,0.845550865681482,0.00010164913692278787
,,,,8.491520040901378,,0.999935072746847,4.7112844224437434e-14,0.013980177360459051,0.00977170909754932,adaptive,,3.945269484326921e-06,0.09802132658660412,1,0.10779303568415344,2000,linear,0.4296875,0.8457432820327676,5.798678661738685e-07,1.5289667771867244e-06,,1.6952329815467237e-06,0.8458130114121707,0.00010072800068883225
,,,,1.3203882498200983,,0.9999999999999993,0.0,0.0,0.0,fp32,,3.520002454129874e-05,0.0,1,0.0,2000,kink,0.11517699807882309,0.9999999999999993,0.0,1.0491196007933468e-05,6.816570476075867e-06,4.0542331589676905e-06,0.9999999999999993,0.0
,,,,8.584383665816858,,0.9996292668574026,2.5412596877158495e-12,0.0004173187271778821,0.0,fixed-e4m3,,3.153373870957742e-05,0.0,1,0.0,2000,kink,0.11517699807882309,0.8187881428157461,2.753705666483395e-07,4.501321200223174e-06,6.725819275743561e-06,3.631961362771108e-06,0.8149994036328055,0.00010341920278733596
