family,input_abs_max,input_p01,input_p50,input_p99,mean_abs_slope,mode,near_zero_fraction,negative_fraction,nonlinear_output_mse,relu_gate_flip_fraction,seed,small_slope_fraction,step,target
silu,1.0134776830673218,-0.6195722917715708,-0.014126175083220005,0.6703469157218933,0.4969284733136495,fixed-e4m3,0.2878824869791667,0.53125,7.215289345670801e-05,,0,0.0,0,kink
relu,1.5499094724655151,-0.9137312968571981,-0.04137644171714783,0.8778484066327413,0.4914957682291667,fixed-e4m3,0.18798828125,0.5085042317708334,0.00012521307022931674,0.0096435546875,0,0.5085042317708334,2000,kink
tanh,1.2177613973617554,-0.6289790670077006,0.06756109247605006,0.7108027537663778,0.9303796490033468,fixed-e4m3,0.2773030598958333,0.4045817057291667,0.00017157399270217866,,0,0.0,2000,kink
silu,1.0148149728775024,-0.6012274821599325,-0.016056230912605923,0.6743767261505127,0.4980595111846924,fixed-e4m3,0.2978108723958333,0.5290120442708334,4.7134360405228413e-05,,0,0.0,2000,kink
relu,1.4788012504577637,-0.767050544420878,-0.041833922266960144,0.8615431984265646,0.4835205078125,fixed-e5m2,0.21748860677083334,0.5164794921875,0.00042390731202128035,0.019694010416666668,0,0.5164794921875,0,kink
tanh,1.169851303100586,-0.6284970839818319,0.04787504424651464,0.6884039640426636,0.9294575651486715,fixed-e5m2,0.29638671875,0.4271240234375,0.0005901275629488131,,0,0.0,0,kink
silu,1.022831678390503,-0.6187194585800171,-0.00890519687285026,0.6329814990361532,0.4971492489178975,fixed-e5m2,0.2996419270833333,0.5289713541666666,0.0001651523974336063,,0,0.0,0,kink
relu,1.520032525062561,-0.9323898951212565,-0.04805382341146469,0.8850419720013937,0.4686279296875,fixed-e5m2,0.1845703125,0.5313720703125,0.00035510564339347184,0.017130533854166668,0,0.5313720703125,2000,kink
tanh,1.2277699708938599,-0.6350971659024557,0.06730824957291286,0.7076781988143921,0.9298075040181478,fixed-e5m2,0.2821044921875,0.4019775390625,0.0005766416240173081,,0,0.0,2000,kink
silu,0.9634829163551331,-0.5816909472147623,-0.02443928853608668,0.6505475838979086,0.49408044417699176,fixed-e5m2,0.2921956380208333,0.540283203125,0.0001872235977013285,,0,0.0,2000,kink
relu,1.4581338167190552,-0.7797326445579529,-0.03949476033449173,0.8666601777076721,0.4838460286458333,fixed-hybrid,0.22306315104166666,0.5161539713541666,0.00011617902540213738,0.009847005208333334,0,0.5161539713541666,0,kink
tanh,1.25041663646698,-0.6289934714635214,0.04857726084689299,0.7032185196876526,0.9296792348225912,fixed-hybrid,0.2931722005208333,0.4237060546875,0.0001862520002759993,,0,0.0,0,kink
silu,1.0134776830673218,-0.6195722917715708,-0.014126175083220005,0.6703469157218933,0.4969284733136495,fixed-hybrid,0.2878824869791667,0.53125,7.215289345670801e-05,,0,0.0,0,kink
