family,input_abs_max,input_p01,input_p50,input_p99,mean_abs_slope,mode,near_zero_fraction,negative_fraction,nonlinear_output_mse,relu_gate_flip_fraction,seed,small_slope_fraction,step,target
silu,1.052941918373108,-0.5953899919986725,-0.00812413248543938,0.6726941168308258,0.4984793464342753,fixed-e4m3,0.3023274739583333,0.511962890625,5.334458910510875e-05,,0,0.0,0,detail
relu,7.087905406951904,-4.37267541885376,-0.06252212325731914,3.0482324361801147,0.4577229817708333,fixed-e4m3,0.078369140625,0.5422770182291666,0.00023686777179439863,0.006184895833333333,0,0.5422770182291666,2000,detail
tanh,6.346055507659912,-2.807910680770874,-0.02493046720822652,3.5754956801732383,0.7357661326726278,fixed-e4m3,0.169921875,0.516845703125,0.00024908654207441333,,0,0.027506510416666668,2000,detail
silu,4.113702774047852,-2.4240304629007974,-0.05057335024078687,1.7310312191645305,0.48331843813260394,fixed-e4m3,0.17146809895833334,0.5248209635416666,0.00013302455530113852,,0,0.004435221354166667,2000,detail
relu,1.3724998235702515,-0.7067705988883972,0.01327024648586909,0.8569110234578451,0.527099609375,fixed-e5m2,0.2384033203125,0.472900390625,0.00031396574922837317,0.0240478515625,0,0.472900390625,0,detail
tanh,1.2525250911712646,-0.6417167981465658,0.02272006683051586,0.696646253267924,0.9343552589416504,fixed-e5m2,0.3310953776041667,0.4654134114583333,0.0005897542384142677,,0,0.0,0,detail
silu,1.0792841911315918,-0.5888368586699168,0.000810667872428894,0.6733921468257904,0.5032676855723063,fixed-e5m2,0.3070068359375,0.497802734375,0.00015180169915159544,,0,0.0,0,detail
relu,6.603060245513916,-4.144106944402059,-0.02857622504234314,2.8107138872146606,0.482666015625,fixed-e5m2,0.09269205729166667,0.517333984375,0.0011615132486137252,0.01318359375,0,0.517333984375,2000,detail
tanh,6.077180862426758,-2.7006940046946206,0.009890079498291016,3.022648652394613,0.7745279868443807,fixed-e5m2,0.1827392578125,0.4812418619791667,0.0012520198166991274,,0,0.021199544270833332,2000,detail
silu,3.7917511463165283,-2.047480285167694,-0.05588413029909134,1.6345525582631428,0.4818730254968007,fixed-e5m2,0.1649169921875,0.5465087890625,0.0005288136308081448,,0,0.005574544270833333,2000,detail
relu,1.351654052734375,-0.7058906753857931,0.01085473969578743,0.8530321518580118,0.5277913411458334,fixed-hybrid,0.23722330729166666,0.4722086588541667,6.367215974023566e-05,0.010579427083333334,0,0.4722086588541667,0,detail
tanh,1.273220419883728,-0.6308586398760477,0.021112201424936455,0.7027858893076578,0.9355557759602865,fixed-hybrid,0.3371988932291667,0.4611002604166667,0.00014933467900846153,,0,0.0,0,detail
silu,1.052941918373108,-0.5953899919986725,-0.00812413248543938,0.6726941168308258,0.4984793464342753,fixed-hybrid,0.3023274739583333,0.511962890625,5.334458910510875e-05,,0,0.0,0,detail
relu,6.7907609939575195,-4.300686438878377,-0.06269634266694386,2.963794390360514,0.4686279296875,fixed-hybrid,0.0797119140625,0.5313720703125,0.00019823112234007567,0.006184895833333333,0,0.5313720703125,2000,detail
tanh,6.381734848022461,-2.767876664797465,-0.0255141481757164,3.5933260520299277,0.7432058453559875,fixed-hybrid,0.17118326822916666,0.5164388020833334,0.0001701652411914741,,0,0.026570638020833332,2000,detail
silu,3.9926884174346924,-2.3820762634277344,-0.03251696998874346,1.7846665779749553,0.4885206421216329,fixed-hybrid,0.15926106770833334,0.5098063151041666,0.0001030932144203689,,0,0.004923502604166667,2000,detail
relu,1.3367424011230469,-0.7088135480880737,0.013608798384666443,0.8446637988090515,0.53173828125,calibrated,0.24051920572916666,0.46826171875,2.4284545361297205e-05,0.005900065104166667,0,0.46826171875,0,detail
