arrays_that_changed,clipped_count,e3m4_element_fraction,e3m4_final_arrays,e3m4_initial_arrays,e4m3_element_fraction,e4m3_final_arrays,e4m3_initial_arrays,e5m2_element_fraction,e5m2_final_arrays,e5m2_initial_arrays,format_switches,kind,mean_squared_rounding_error,mode,quantized_elements,reselection_opportunities,scale_max,scale_min,seed,target,zeroed_fraction
0,0,0.0,0,0,1.0,16,16,0.0,0,0,0,weight,7.589062578454722e-06,fixed-e4m3,19170000,0,0.001953125,0.000244140625,1,linear,4.173187271778821e-06
0,0,0.0,0,0,1.0,16,16,0.0,0,0,0,gradient,1.965446653490359e-11,fixed-e4m3,19170000,0,0.0001220703125,9.313225746154785e-10,1,linear,0.00012029212310902451
0,0,0.0,0,0,0.0,0,0,1.0,16,16,0,weight,3.078616596720446e-05,fixed-e5m2,19170000,0,1.52587890625e-05,1.9073486328125e-06,1,linear,0.0
0,0,0.0,0,0,0.0,0,0,1.0,16,16,0,gradient,1.563382757785048e-10,fixed-e5m2,19170000,0,9.5367431640625e-07,9.094947017729282e-13,1,linear,5.2164840897235266e-08
0,0,0.0,0,0,1.0,16,16,0.0,0,0,0,weight,7.583071413503873e-06,fixed-hybrid,19170000,0,0.001953125,0.000244140625,1,linear,2.5039123630672925e-06
0,0,0.0,0,0,0.0,0,0,1.0,16,16,0,gradient,5.73333748147397e-11,fixed-hybrid,19170000,0,9.5367431640625e-07,7.275957614183426e-12,1,linear,5.2164840897235266e-08
0,0,1.0,16,16,0.0,0,0,0.0,0,0,0,weight,1.8860995344718355e-06,calibrated,19170000,0,0.0625,0.0078125,1,linear,0.0011064684402712572
0,0,0.9998956703182055,15,15,0.00010432968179447053,1,1,0.0,0,0,0,gradient,3.492003693881233e-12,calibrated,19170000,0,0.00390625,7.450580596923828e-09,1,linear,0.018459728742827336
0,0,1.0,16,16,0.0,0,0,0.0,0,0,0,weight,1.8861023637868358e-06,adaptive,19170000,304,0.0625,0.0078125,1,linear,0.0011064684402712572
1,0,0.9999478351591028,15,15,5.2164840897235264e-05,1,1,0.0,0,0,12,gradient,3.4265267556500766e-12,adaptive,19170000,304,0.00390625,7.450580596923828e-09,1,linear,0.018459728742827336
0,0,0.0,0,0,1.0,16,16,0.0,0,0,0,weight,7.880367604070145e-06,fixed-e4m3,19170000,0,0.001953125,0.000244140625,1,kink,2.8169014084507042e-06
0,0,0.0,0,0,1.0,16,16,0.0,0,0,0,gradient,1.382760571579631e-10,fixed-e4m3,19170000,0,0.0001220703125,9.313225746154785e-10,1,kink,0.0001976004173187272
0,0,0.0,0,0,0.0,0,0,1.0,16,16,0,weight,3.1410289171015725e-05,fixed-e5m2,19170000,0,1.52587890625e-05,1.9073486328125e-06,1,kink,0.0
0,0,0.0,0,0,0.0,0,0,1.0,16,16,0,gradient,8.830747223853775e-10,fixed-e5m2,19170000,0,1.9073486328125e-06,3.637978807091713e-12,1,kink,1.7892540427751694e-05
0,0,0.0,0,0,1.0,16,16,0.0,0,0,0,weight,7.915372999599196e-06,fixed-hybrid,19170000,0,0.001953125,0.000244140625,1,kink,3.182055294731351e-06
0,0,0.0,0,0,0.0,0,0,1.0,16,16,0,gradient,4.882841262671337e-10,fixed-hybrid,19170000,0,1.9073486328125e-06,7.275957614183426e-12,1,kink,0.0
0,0,0.9998956703182055,15,15,0.00010432968179447053,1,1,0.0,0,0,0,weight,1.8820913717571256e-06,calibrated,19170000,0,0.0625,0.000244140625,1,kink,0.0007488784559207094
0,0,1.0,16,16,0.0,0,0,0.0,0,0,0,gradient,2.5523754336459235e-11,calibrated,19170000,0,0.0078125,1.1920928955078125e-07,1,kink,0.013151434533124675
0,0,0.9998956703182055,15,15,0.00010432968179447053,1,1,0.0,0,0,0,weight,1.8820573787021566e-06,adaptive,19170000,304,0.0625,0.000244140625,1,kink,0.0007488784559207094
1,0,0.9999478351591028,16,16,5.2164840897235264e-05,0,0,0.0,0,0,10,gradient,2.8002065648295848e-11,adaptive,19170000,304,0.00390625,2.9802322387695312e-08,1,kink,0.013151434533124675
0,0,0.0,0,0,1.0,16,16,0.0,0,0,0,weight,8.002608797672602e-06,fixed-e4m3,19170000,0,0.001953125,0.000244140625,1,plateau,6.468440271257173e-06
0,0,0.0,0,0,1.0,16,16,0.0,0,0,0,gradient,8.548247118764458e-10,fixed-e4m3,19170000,0,0.00048828125,4.656612873077393e-10,1,plateau,7.918622848200313e-05
0,0,0.0,0,0,0.0,0,0,1.0,16,16,0,weight,3.158548174498152e-05,fixed-e5m2,19170000,0,1.52587890625e-05,1.9073486328125e-06,1,plateau,0.0
0,0,0.0,0,0,0.0,0,0,1.0,16,16,0,gradient,4.2304205508616845e-09,fixed-e5m2,19170000,0,7.62939453125e-06,5.820766091346741e-11,1,plateau,0.0
0,0,0.0,0,0,1.0,16,16,0.0,0,0,0,weight,8.001253497288976e-06,fixed-hybrid,19170000,0,0.001953125,0.000244140625,1,plateau,6.364110589462702e-06
0,0,0.0,0,0,0.0,0,0,1.0,16,16,0,gradient,2.8285619315821096e-09,fixed-hybrid,19170000,0,3.814697265625e-06,1.4551915228366852e-11,1,plateau,0.0
0,0,1.0,16,16,0.0,0,0,0.0,0,0,0,weight,2.091627272356649e-06,calibrated,19170000,0,0.0625,0.0078125,1,plateau,0.0012160146061554512
0,0,1.0,16,16,0.0,0,0,0.0,0,0,0,gradient,1.9013341228155496e-10,calibrated,19170000,0,0.015625,1.1920928955078125e-07,1,plateau,0.017179968701095463
0,0,1.0,16,16,0.0,0,0,0.0,0,0,0,weight,2.0916108190971076e-06,adaptive,19170000,304,0.0625,0.0078125,1,plateau,0.0012160146061554512
1,0,0.999942618675013,15,16,5.738132498695879e-05,1,0,0.0,0,0,11,gradient,1.92863981796954e-10,adaptive,19170000,304,0.015625,5.960464477539063e-08,1,plateau,0.017179968701095463
0,0,0.0,0,0,1.0,16,16,0.0,0,0,0,weight,8.924888871953799e-06,fixed-e4m3,19170000,0,0.001953125,0.000244140625,1,detail,5.685967657798644e-06
0,0,0.0,0,0,1.0,16,16,0.0,0,0,0,gradient,1.8859858226689246e-08,fixed-e4m3,19170000,0,0.001953125,2.9802322387695312e-08,1,detail,0.00016572769953051642
0,0,0.0,0,0,0.0,0,0,1.0,16,16,0,weight,3.76087707001385e-05,fixed-e5m2,19170000,0,1.52587890625e-05,1.9073486328125e-06,1,detail,0.0
0,0,0.0,0,0,0.0,0,0,1.0,16,16,0,gradient,8.50326280971218e-08,fixed-e5m2,19170000,0,1.52587890625e-05,5.820766091346741e-11,1,detail,0.0
0,0,0.0,0,0,1.0,16,16,0.0,0,0,0,weight,8.860757937472726e-06,fixed-hybrid,19170000,0,0.001953125,0.000244140625,1,detail,6.885758998435055e-06
0,0,0.0,0,0,0.0,0,0,1.0,16,16,0,gradient,7.042436341236121e-08,fixed-hybrid,19170000,0,1.52587890625e-05,1.4551915228366852e-11,1,detail,0.0
0,0,1.0,16,16,0.0,0,0,0.0,0,0,0,weight,2.3236843516359205e-06,calibrated,19170000,0,0.0625,0.0078125,1,detail,0.002186176317162233
0,0,0.9998956703182055,15,15,0.00010432968179447053,1,1,0.0,0,0,0,gradient,4.611243809560887e-09,calibrated,19170000,0,0.0625,7.450580596923828e-09,1,detail,0.020386750130412103
0,0,1.0,16,16,0.0,0,0,0.0,0,0,0,weight,2.3235725529105024e-06,adaptive,19170000,304,0.0625,0.0078125,1,detail,0.0021657798643714135
1,0,0.9999374021909233,15,15,6.259780907668232e-05,1,1,0.0,0,0,8,gradient,4.550438728047961e-09,adaptive,19170000,304,0.0625,7.450580596923828e-09,1,detail,0.020432550860719875
0,0,0.0,0,0,1.0,16,16,0.0,0,0,0,weight,8.080714313940814e-06,fixed-e4m3,19170000,0,0.001953125,0.000244140625,1,bump,4.95565988523735e-06
0,0,0.0,0,0,1.0,16,16,0.0,0,0,0,gradient,6.29360980201116e-10,fixed-e4m3,19170000,0,0.00048828125,9.313225746154785e-10,1,bump,0.0003925925925925926
0,0,0.0,0,0,0.0,0,0,1.0,16,16,0,weight,3.337037042199203e-05,fixed-e5m2,19170000,0,1.52587890625e-05,1.9073486328125e-06,1,bump,0.0
0,0,0.0,0,0,0.0,0,0,1.0,16,16,0,gradient,2.7842972608142714e-09,fixed-e5m2,19170000,0,3.814697265625e-06,2.9103830456733704e-11,1,bump,3.2863849765258217e-06
0,0,0.0,0,0,1.0,16,16,0.0,0,0,0,weight,8.09940930351774e-06,fixed-hybrid,19170000,0,0.001953125,0.000244140625,1,bump,5.216484089723526e-06
0,0,0.0,0,0,0.0,0,0,1.0,16,16,0,gradient,2.6222036895976312e-09,fixed-hybrid,19170000,0,3.814697265625e-06,3.637978807091713e-12,1,bump,4.694835680751174e-07
0,0,0.9998956703182055,15,15,0.00010432968179447053,1,1,0.0,0,0,0,weight,1.9889428673172442e-06,calibrated,19170000,0,0.0625,0.000244140625,1,bump,0.0017014606155451226
0,0,0.9998956703182055,15,15,0.00010432968179447053,1,1,0.0,0,0,0,gradient,1.6838358323645754e-10,calibrated,19170000,0,0.0078125,7.450580596923828e-09,1,bump,0.020256494522691706
1,0,0.9999165362545644,16,15,8.346374543557642e-05,0,1,0.0,0,0,1,weight,1.9895684925868677e-06,adaptive,19170000,304,0.0625,0.000244140625,1,bump,0.0016828377673448096
1,0,0.9999374021909233,15,15,6.259780907668232e-05,1,1,0.0,0,0,10,gradient,1.6532434082417332e-10,adaptive,19170000,304,0.0078125,2.9802322387695312e-08,1,bump,0.020161450182576944
0,0,0.0,0,0,1.0,16,16,0.0,0,0,0,weight,9.347291572175453e-06,fixed-e4m3,19170000,0,0.001953125,0.000244140625,1,composition,7.042253521126761e-06
0,0,0.0,0,0,1.0,16,16,0.0,0,0,0,gradient,3.1009311632276664e-08,fixed-e4m3,19170000,0,0.001953125,7.450580596923828e-09,1,composition,9.739175795513823e-05
0,0,0.0,0,0,0.0,0,0,1.0,16,16,0,weight,3.790964589322082e-05,fixed-e5m2,19170000,0,1.52587890625e-05,1.9073486328125e-06,1,composition,0.0
0,0,0.0,0,0,0.0,0,0,1.0,16,16,0,gradient,1.2562800353741827e-07,fixed-e5m2,19170000,0,1.52587890625e-05,2.3283064365386963e-10,1,composition,0.0
0,0,0.0,0,0,1.0,16,16,0.0,0,0,0,weight,9.315205215346592e-06,fixed-hybrid,19170000,0,0.001953125,0.000244140625,1,composition,6.93792383933229e-06
0,0,0.0,0,0,0.0,0,0,1.0,16,16,0,gradient,1.2435646789800435e-07,fixed-hybrid,19170000,0,1.52587890625e-05,9.313225746154785e-10,1,composition,0.0
0,0,0.9998956703182055,15,15,0.00010432968179447053,1,1,0.0,0,0,0,weight,2.317356725268199e-06,calibrated,19170000,0,0.0625,0.000244140625,1,composition,0.0016448617631716223
0,0,1.0,16,16,0.0,0,0,0.0,0,0,0,gradient,9.76836113085572e-09,calibrated,19170000,0,0.0625,4.76837158203125e-07,1,composition,0.015758841940532082
1,0,0.9999478351591028,16,15,5.2164840897235264e-05,0,1,0.0,0,0,1,weight,2.3130351284552066e-06,adaptive,19170000,304,0.0625,0.000244140625,1,composition,0.0016870109546165883
1,0,0.9999530516431925,16,16,4.694835680751174e-05,0,0,0.0,0,0,10,gradient,9.580900935904898e-09,adaptive,19170000,304,0.0625,5.960464477539063e-08,1,composition,0.015872143974960878
