confirmation_step,detail_amplitude,detail_amplitude_error,detail_component_relative_mse,elapsed_seconds,ever_sustained,final_three_pass,first_crossing_step,gain,gradient_probe_seconds,gradient_rounding_cosine,gradient_rounding_mse,gradient_zeroed_fraction,initial_calibration_seconds,mode,reselection_seconds,seed,selection_seconds,step,target,total_gradient_cosine,total_gradient_mse,training_loss,training_seconds,validation_mse,weight_rounding_gradient_cosine,weight_rounding_output_mse
8500,0.010056973434984684,5.697343498468378e-05,0.17520053593521245,55.35582962515764,True,False,7500,1.0,0.015925291692838073,0.9988118295452033,1.3524074360468506e-11,0.0,0.0,fixed-e5m2,0.0,11,0.0,20000,detail,-0.03905069250783284,1.82701670443628e-07,2.280328953929711e-05,54.67147122393362,1.4146135981718544e-05,-0.03864242486407714,0.0003173664154019207
8500,0.00989291351288557,0.00010708648711442968,0.01166464048377918,58.58237962517887,True,True,7500,1.0,0.016896043671295047,0.998798265257957,1.6422522861896368e-12,0.0,0.0,fixed-hybrid,0.0,11,0.0,20000,detail,-0.37729020405068503,7.348928090794719e-08,1.2445557331375312e-06,57.81959587940946,6.889827545819571e-06,-0.37890442945428615,0.00013686082093045115
6500,0.010166805237531662,0.00016680523753166178,0.04603084037289429,62.74826274998486,True,True,5500,1.0,0.018177580321207643,0.9999211090965713,2.5752829483458124e-13,0.06249381004258691,0.012654250022023916,calibrated,0.0,11,0.012654250022023916,20000,detail,-0.2934057873389362,2.493995284819072e-08,3.4513286664150655e-06,61.95690990751609,4.879089829046279e-06,-0.29414842737350994,4.123943654121831e-05
7000,0.010564745403826237,0.0005647454038262365,0.012805853408533902,56.787906624842435,True,True,6000,1.0,0.015524207148700953,0.999904136195903,1.156692944085538e-13,0.04734079429533525,0.012654250022023916,adaptive,0.9988909177482128,11,1.0115451677702367,20000,detail,0.019186724638960227,5.720391737566583e-09,1.3923959159001242e-06,56.079323668032885,2.07905418392329e-06,0.01849244427775121,1.9560928194550797e-05
3500,0.010060207918286324,6.020791828632334e-05,0.0027241983033933644,13.357982291141525,True,True,2500,1.0,0.016009001526981592,0.9999999999999969,0.0,0.0,0.0,fp32,0.0,12,0.0,20000,detail,0.9999999999999969,0.0,1.3327272085916775e-07,13.017541530774906,1.6100334221391677e-07,0.9999999999999969,0.0
5500,0.010115858167409897,0.00011585816740989664,0.02349080236635264,55.630603458033875,True,True,4500,1.0,0.015602999599650502,0.99992311904693,1.3531647113323614e-13,0.04090323858571853,0.0,fixed-e3m4,0.0,12,0.0,20000,detail,0.33330310703321797,1.9058208915434866e-08,2.3060929379425943e-06,54.93970380187966,1.7697170733299572e-06,0.33484266701190063,4.80355229228735e-05
9000,0.009942185133695602,5.781486630439779e-05,0.03497143262460739,55.72045679204166,True,True,8000,1.0,0.01581112458370626,0.9996978575936081,1.0090473806033777e-12,0.00039615727443795186,0.0,fixed-e4m3,0.0,12,0.0,20000,detail,-0.6559821108526299,8.867187632161533e-08,3.3805099519668147e-06,54.99307928723283,1.0395143362984527e-05,-0.6548387562132757,7.67280362197198e-05
9500,0.010672352276742458,0.0006723522767424581,0.1823680394455883,55.166181875159964,True,True,8500,1.0,0.01582062942907214,0.9985057710279014,1.0365781329997942e-11,0.0,0.0,fixed-e5m2,0.0,12,0.0,20000,detail,-0.027183228522694194,3.5965550930847303e-07,1.6523732483619824e-05,54.45906164776534,1.5975561836967245e-05,-0.027313014712354887,0.0003621287760324776
10000,0.009826230816543102,0.00017376918345689794,0.10660782355890543,54.91076387488283,True,True,9000,1.0,0.01573674683459103,0.9985200646395113,8.84814294307139e-12,0.0,0.0,fixed-hybrid,0.0,12,0.0,20000,detail,-0.7581100633719579,2.529159979692602e-07,3.799019850703189e-06,54.2480575509835,9.73770693235565e-06,-0.7579402603804852,0.00021527243370655924
8500,0.009721326641738415,0.00027867335826158544,0.014350674370546485,62.51270370790735,True,True,7500,1.0,0.01830437104217708,0.9999248128914784,6.468203093110607e-14,0.032782014459740515,0.013329875189810991,calibrated,0.0,12,0.013329875189810991,20000,detail,-0.14105972006266573,2.4385148783369283e-08,1.330386112385895e-06,61.68973905243911,1.5587629604851827e-06,-0.1404624972664753,4.4215463276486844e-05
5000,0.009440083056688309,0.0005599169433116915,0.05777048926360432,60.33193049998954,True,True,4000,1.0,0.01651233364827931,0.9999138587116435,1.1120793957270226e-13,0.060116866395959194,0.013329875189810991,adaptive,1.0495796625036746,12,1.0629095376934856,20000,detail,-0.30123036586572993,4.5598403616921176e-08,1.3299088550411398e-06,59.569605058059096,2.9226839615148492e-06,-0.30365169680106224,4.335414632805623e-05
